Fecha;fecha_Operación;TRM;Diferencia;Dia sem;nom Dia Sem;fin Semana;Dif Cero;date
31/05/2020;30/05/2020;3718,82;0;7;sáb;1;1;2020-05-30
1/06/2020;31/05/2020;3718,82;0;1;dom;1;1;2020-05-31
2/06/2020;1/06/2020;3716,35;-2,47;2;lun;0;0;2020-06-01
3/06/2020;2/06/2020;3651,42;-64,93;3;mar;0;0;2020-06-02
4/06/2020;3/06/2020;3588,89;-62,53;4;mié;0;0;2020-06-03
5/06/2020;4/06/2020;3597,47;8,58;5;jue;0;0;2020-06-04
6/06/2020;5/06/2020;3565,06;-32,41;6;vie;0;0;2020-06-05
7/06/2020;6/06/2020;3565,06;0;7;sáb;1;1;2020-06-06
8/06/2020;7/06/2020;3565,06;0;1;dom;1;1;2020-06-07
9/06/2020;8/06/2020;3599;33,94;2;lun;0;0;2020-06-08
10/06/2020;9/06/2020;3643,02;44,02;3;mar;0;0;2020-06-09
11/06/2020;10/06/2020;3674,81;31,79;4;mié;0;0;2020-06-10
12/06/2020;11/06/2020;3746,46;71,65;5;jue;0;0;2020-06-11
13/06/2020;12/06/2020;3758,15;11,69;6;vie;0;0;2020-06-12
14/06/2020;13/06/2020;3758,15;0;7;sáb;1;1;2020-06-13
15/06/2020;14/06/2020;3758,15;0;1;dom;1;1;2020-06-14
16/06/2020;15/06/2020;3758,15;0;2;lun;0;1;2020-06-15
17/06/2020;16/06/2020;3741,88;-16,27;3;mar;0;0;2020-06-16
18/06/2020;17/06/2020;3749,03;7,15;4;mié;0;0;2020-06-17
19/06/2020;18/06/2020;3760,22;11,19;5;jue;0;0;2020-06-18
20/06/2020;19/06/2020;3733,27;-26,95;6;vie;0;0;2020-06-19
21/06/2020;20/06/2020;3733,27;0;7;sáb;1;1;2020-06-20
22/06/2020;21/06/2020;3733,27;0;1;dom;1;1;2020-06-21
23/06/2020;22/06/2020;3733,27;0;2;lun;0;1;2020-06-22
24/06/2020;23/06/2020;3706,06;-27,21;3;mar;0;0;2020-06-23
25/06/2020;24/06/2020;3722,27;16,21;4;mié;0;0;2020-06-24
26/06/2020;25/06/2020;3735,93;13,66;5;jue;0;0;2020-06-25
27/06/2020;26/06/2020;3758,91;22,98;6;vie;0;0;2020-06-26
28/06/2020;27/06/2020;3758,91;0;7;sáb;1;1;2020-06-27
29/06/2020;28/06/2020;3758,91;0;1;dom;1;1;2020-06-28
30/06/2020;29/06/2020;3758,91;0;2;lun;0;1;2020-06-29
1/07/2020;30/06/2020;3756,28;-2,63;3;mar;0;0;2020-06-30
2/07/2020;1/07/2020;3723,67;-32,61;4;mié;0;0;2020-07-01
3/07/2020;2/07/2020;3660,18;-63,49;5;jue;0;0;2020-07-02
4/07/2020;3/07/2020;3645,9;-14,28;6;vie;0;0;2020-07-03
5/07/2020;4/07/2020;3645,9;0;7;sáb;1;1;2020-07-04
